"region","file_name","result"
"asia","russ039x.rwl","rwl"
"asia","russ040e.rwl","rwl"
"asia","russ040i.rwl","rwl"
"asia","russ040l.rwl","rwl"
"asia","russ040n.rwl","rwl"
"asia","russ040t.rwl","rwl"
"asia","russ040w.rwl","rwl"
"asia","russ040x.rwl","rwl"
"asia","russ041e.rwl","rwl"
"asia","russ041i.rwl","rwl"
"asia","russ041l.rwl","rwl"
"asia","russ041n.rwl","rwl"
"asia","russ041t.rwl","rwl"
"asia","russ041w.rwl","rwl"
"asia","russ041x.rwl","rwl"
"asia","russ042e.rwl","rwl"
"asia","russ042i.rwl","rwl"
"asia","russ042l.rwl","rwl"
"asia","russ042n.rwl","rwl"
"asia","russ042t.rwl","rwl"
"asia","russ042w.rwl","rwl"
"asia","russ042x.rwl","rwl"
"asia","russ043e.rwl","rwl"
"asia","russ043i.rwl","rwl"
"asia","russ043l.rwl","rwl"
"asia","russ043n.rwl","rwl"
"asia","russ043t.rwl","rwl"
"asia","russ043w.rwl","rwl"
"asia","russ043x.rwl","rwl"
"asia","russ044e.rwl","rwl"
"asia","russ044i.rwl","rwl"
"asia","russ044l.rwl","rwl"
"asia","russ044n.rwl","rwl"
"asia","russ044t.rwl","rwl"
"asia","russ044w.rwl","rwl"
"asia","russ044x.rwl","rwl"
"asia","russ045e.rwl","rwl"
"asia","russ045i.rwl","rwl"
"asia","russ045l.rwl","rwl"
"asia","russ045n.rwl","rwl"
"asia","russ045t.rwl","rwl"
"asia","russ045w.rwl","rwl"
"asia","russ045x.rwl","rwl"
"asia","russ046e.rwl","rwl"
"asia","russ046i.rwl","rwl"
"asia","russ046l.rwl","rwl"
"asia","russ046n.rwl","rwl"
"asia","russ046t.rwl","rwl"
"asia","russ046w.rwl","rwl"
"asia","russ046x.rwl","rwl"
"asia","russ047e.rwl","rwl"
"asia","russ047i.rwl","rwl"
"asia","russ047l.rwl","rwl"
"asia","russ047n.rwl","rwl"
"asia","russ047t.rwl","rwl"
"asia","russ047w.rwl","rwl"
"asia","russ047x.rwl","rwl"
"asia","russ048e.rwl","rwl"
"asia","russ048i.rwl","rwl"
"asia","russ048l.rwl","rwl"
"asia","russ048n.rwl","rwl"
"asia","russ048t.rwl","rwl"
"asia","russ048w.rwl","rwl"
"asia","russ048x.rwl","rwl"
"asia","russ049e.rwl","rwl"
"asia","russ049i.rwl","rwl"
"asia","russ049l.rwl","rwl"
"asia","russ049n.rwl","rwl"
"asia","russ049t.rwl","rwl"
"asia","russ049w.rwl","rwl"
"asia","russ049x.rwl","rwl"
"asia","russ050e.rwl","rwl"
"asia","russ050i.rwl","rwl"
"asia","russ050l.rwl","rwl"
"asia","russ050n.rwl","rwl"
"asia","russ050t.rwl","rwl"
"asia","russ050w.rwl","rwl"
"asia","russ050x.rwl","rwl"
"asia","russ051e.rwl","rwl"
"asia","russ051i.rwl","rwl"
"asia","russ051l.rwl","rwl"
"asia","russ051n.rwl","rwl"
"asia","russ051t.rwl","rwl"
"asia","russ051w.rwl","rwl"
"asia","russ051x.rwl","rwl"
"asia","russ052e.rwl","rwl"
"asia","russ052i.rwl","rwl"
"asia","russ052l.rwl","rwl"
"asia","russ052n.rwl","rwl"
"asia","russ052t.rwl","rwl"
"asia","russ052w.rwl","rwl"
"asia","russ052x.rwl","rwl"
"asia","russ053e.rwl","rwl"
"asia","russ053i.rwl","rwl"
"asia","russ053l.rwl","rwl"
"asia","russ053n.rwl","rwl"
"asia","russ053t.rwl","rwl"
"asia","russ053w.rwl","rwl"
"asia","russ053x.rwl","rwl"
"asia","russ054e.rwl","rwl"
"asia","russ054i.rwl","rwl"
"asia","russ054l.rwl","rwl"
"asia","russ054n.rwl","rwl"
"asia","russ054t.rwl","rwl"
"asia","russ054w.rwl","rwl"
"asia","russ054x.rwl","rwl"
"asia","russ055e.rwl","rwl"
"asia","russ055i.rwl","rwl"
"asia","russ055l.rwl","rwl"
"asia","russ055n.rwl","rwl"
"asia","russ055t.rwl","rwl"
"asia","russ055w.rwl","rwl"
"asia","russ055x.rwl","rwl"
"asia","russ056e.rwl","rwl"
"asia","russ056i.rwl","rwl"
"asia","russ056l.rwl","rwl"
"asia","russ056n.rwl","rwl"
"asia","russ056t.rwl","rwl"
"asia","russ056w.rwl","rwl"
"asia","russ056x.rwl","rwl"
"asia","russ057e.rwl","rwl"
"asia","russ057i.rwl","rwl"
"asia","russ057l.rwl","rwl"
"asia","russ057n.rwl","rwl"
"asia","russ057t.rwl","rwl"
"asia","russ057w.rwl","rwl"
"asia","russ057x.rwl","rwl"
"asia","russ058e.rwl","rwl"
"asia","russ058i.rwl","rwl"
"asia","russ058l.rwl","rwl"
"asia","russ058n.rwl","rwl"
"asia","russ058t.rwl","rwl"
"asia","russ058w.rwl","rwl"
"asia","russ058x.rwl","rwl"
"asia","russ059e.rwl","rwl"
"asia","russ059i.rwl","rwl"
"asia","russ059l.rwl","rwl"
"asia","russ059n.rwl","rwl"
"asia","russ059t.rwl","rwl"
"asia","russ059w.rwl","rwl"
"asia","russ059x.rwl","rwl"
"asia","russ060e.rwl","rwl"
"asia","russ060i.rwl","rwl"
"asia","russ060l.rwl","rwl"
"asia","russ060n.rwl","rwl"
